id;eltamont;eltaval;extremite_amont;extremite_aval;lgmvtaval;vit_reg;geometry
T_1078383180_FRef;R_1065454927;C_82607850;843910.008318 6519809.389680;843915.857358 6519810.727116;27,282;13,89;LINESTRING (843910.008318 6519809.38968, 843915.857358 6519810.727116)
T_1078383180_toRef;C_82607850;R_1065454927;843913.545082 6519816.353250;843908.670882 6519815.238720;5,0;13,89;LINESTRING (843913.545082 6519816.35325, 843908.670882 6519815.23872)
T_1080382458_FRef;C_82607850;R_1067024224;843920.298319 6519832.319540;843922.002600 6519835.938300;4,0;13,89;LINESTRING (843920.298319 6519832.31954, 843922.0026 6519835.9383)
T_1080382459_FRef;R_1067024224;C_82607866;843923.429635 6519835.476164;843979.724849 6519907.909976;110,383;13,89;LINESTRING (843923.429635 6519835.476164, 843979.724849 6519907.909976)
T_1085062085_FRef;R_82612059;C_545420584;844467.094714 6520327.841631;844474.092774 6520328.006397;29,781;2,78;LINESTRING (844467.094714 6520327.841631, 844474.092774 6520328.006397)
T_1085062100_FRef_F_F;E_82647133_T_1085062100_FRef;R_82643214;844074.842100 6520943.993000;843954.271066 6521010.086121;137,518;2,78;LINESTRING (844074.8421 6520943.993, 843954.271066 6521010.086121)
T_1085062104_toRef_F_F;R_82643214;S_82647133_T_1085062100_toRef;843951.374734 6521004.831479;844071.768508 6520938.840216;137,313;2,78;LINESTRING (843951.374734 6521004.831479, 844071.768508 6520938.840216)
T_1085062113_toRef_F_F;R_82647136;R_82643214;844103.654500 6521060.021000;843952.961248 6521010.455608;164,315;2,78;LINESTRING (844103.6545 6521060.021, 843952.961248 6521010.455608)
T_1085062132_FRef;R_1070389101;R_82612044;844639.853800 6520221.609500;844628.198800 6520221.334800;11,658;13,89;LINESTRING (844639.8538 6520221.6095, 844628.1988 6520221.3348)
T_1085062133_FRef;C_82612051;R_1070389101;844672.810816 6520223.293272;844639.853800 6520221.609500;33,0;13,89;LINESTRING (844672.810816 6520223.293272, 844639.8538 6520221.6095)
T_1085062134_FRef_F;R_82612106;R_1070389101;844617.648600 6520471.019800;844639.853800 6520221.609500;251,324;8,33;LINESTRING (844617.6486 6520471.0198, 844639.8538 6520221.6095)
T_1085062145_FRef_F_F;R_82643223;R_82643215;843956.418200 6521114.589000;843832.808308 6521190.432861;145,055;2,78;LINESTRING (843956.4182 6521114.589, 843832.808308 6521190.432861)
T_1085062157_FRef;C_82611889;R_1070389112;843993.109797 6520274.082121;843985.038450 6520327.475504;54,0;13,89;LINESTRING (843993.109797 6520274.082121, 843985.03845 6520327.475504)
T_1085062158_FRef;R_1070389112;R_82611890;843985.040712 6520327.459992;843982.240812 6520347.388892;20,125;13,89;LINESTRING (843985.040712 6520327.459992, 843982.240812 6520347.388892)
T_1085062159_FRef;E_1070389113_T_1085062159_FRef;R_1070389112;844018.253593 6520300.667484;843983.120833 6520330.219673;63,003;8,33;LINESTRING (844018.253593 6520300.667484, 843983.120833 6520330.219673)
T_1085062159_toRef;R_1070389112;S_1070389113_T_1085062159_toRef;843983.989767 6520324.282927;844012.319007 6520299.783916;54,532;8,33;LINESTRING (843983.989767 6520324.282927, 844012.319007 6520299.783916)
T_1085114925_FRef_F;C_1070422790;C_82611957;844243.188618 6519795.369573;844359.609002 6519812.041241;157,351;13,89;LINESTRING (844243.188618 6519795.369573, 844359.609002 6519812.041241)
T_1085324761_toRef_F_F;R_1070554770;R_82647288;844620.456400 6521332.307000;844640.571166 6521362.076597;96,536;8,33;LINESTRING (844620.4564 6521332.307, 844640.571166 6521362.076597)
T_1085324762_FRef;R_1070554770;R_1070554773;844621.125045 6521338.256896;844595.611786 6521339.937666;25,694;8,33;LINESTRING (844621.125045 6521338.256896, 844595.611786 6521339.937666)
T_1085324762_toRef;R_1070554773;R_1070554770;844595.753214 6521333.939334;844620.063755 6521332.351504;24,488;8,33;LINESTRING (844595.753214 6521333.939334, 844620.063755 6521332.351504)
T_1085324763_FRef_F;R_82647288;S_801880431_T_1085324764_FRef;844643.236920 6521358.903693;844686.868962 6521486.718618;167,17;8,33;LINESTRING (844643.23692 6521358.903693, 844686.868962 6521486.718618)
T_1085324764_toRef_F;E_801880431_T_1085324764_toRef;R_82647288;844680.869438 6521486.794182;844637.249080 6521359.285507;167,488;8,33;LINESTRING (844680.869438 6521486.794182, 844637.24908 6521359.285507)
T_1085324766_toRef_F;R_1070554773;R_1070554770;844592.687644 6521337.114105;844623.541167 6521335.866840;118,783;8,33;LINESTRING (844592.687644 6521337.114105, 844623.541167 6521335.86684)
T_1085324767_FRef;R_1070554773;R_82647242;844598.675678 6521336.736296;844600.404378 6521362.325796;25,648;8,33;LINESTRING (844598.675678 6521336.736296, 844600.404378 6521362.325796)
T_1085324767_toRef;R_82647242;R_1070554773;844594.418022 6521362.730204;844592.689322 6521337.140704;25,648;8,33;LINESTRING (844594.418022 6521362.730204, 844592.689322 6521337.140704)
T_1085324768_toRef_F;R_801880413;S_82647294_T_1085324769_FRef;844589.701784 6521572.652297;844650.033240 6521631.288277;120,29;13,89;LINESTRING (844589.701784 6521572.652297, 844650.03324 6521631.288277)
T_1085324769_toRef_F;E_82647294_T_1085324769_toRef;R_801880413;844644.037760 6521631.521123;844590.410416 6521578.610303;114,311;13,89;LINESTRING (844644.03776 6521631.521123, 844590.410416 6521578.610303)
T_1085324777_toRef_F_F;C_545417488;S_545417489_T_58228183_toRef;844728.502300 6521656.404000;844796.833048 6521466.434540;261,991;13,89;LINESTRING (844728.5023 6521656.404, 844796.833048 6521466.43454)
T_1085329221_toRef_F_F;E_545420748_T_1085329221_toRef;R_82621264;848157.820800 6520783.228000;848053.139357 6520529.812839;274,2405;13,89;LINESTRING (848157.8208 6520783.228, 848053.139357 6520529.812839)
T_1087906352_FRef;C_801869603;S_1072351527_T_1087906352_FRef;845547.338413 6521948.181009;845509.820406 6522043.848497;102,761;2,78;LINESTRING (845547.338413 6521948.181009, 845509.820406 6522043.848497)
T_1087906352_toRef;E_1072351527_T_1087906352_toRef;C_801869603;845504.234594 6522041.657903;845541.752601 6521945.990416;102,761;2,78;LINESTRING (845504.234594 6522041.657903, 845541.752601 6521945.990416)
T_1088912081_FRef_F;R_801869599;R_82649099;845841.497171 6522091.984467;845863.870171 6522166.370825;92,681;8,33;LINESTRING (845841.497171 6522091.984467, 845863.870171 6522166.370825)
T_1089869555_FRef_F_F_F_F_F_F;R_82612044;C_82611991;844628.198800 6520221.335000;844524.935607 6520215.388348;139,342;13,89;LINESTRING (844628.1988 6520221.335, 844524.935607 6520215.388348)
T_1090207045_toRef_F;C_82647208;R_762997770;844427.788779 6520953.526114;844342.265224 6520941.142397;86,488;13,89;LINESTRING (844427.788779 6520953.526114, 844342.265224 6520941.142397)
T_10_toRef;R_11;R_1057594425;846574.120258 6522706.988802;846261.538403 6523076.062347;483,766;25,0;LINESTRING (846574.120258 6522706.988802, 846261.538403 6523076.062347)
T_11_FRef;R_10;R_543477837;846472.072081 6522807.130551;846551.356949 6522688.791970;143,287;13,89;LINESTRING (846472.072081 6522807.130551, 846551.356949 6522688.79197)
T_12_FRef;R_11;R_12;846577.609130 6522714.076609;846506.621246 6522744.837915;938,5035;20,0;LINESTRING (846577.60913 6522714.076609, 846506.621246 6522744.837915)
T_13_FRef;R_1065454927;R_18;843905.298189 6519811.899496;843911.723062 6519758.976773;53,31133333333333;13,89;LINESTRING (843905.298189 6519811.899496, 843911.723062 6519758.976773)
T_14_FRef;R_15;R_82621096;848389.527185 6519388.844221;848419.141500 6519637.594000;250,50633333333334;25,0;LINESTRING (848389.527185 6519388.844221, 848419.1415 6519637.594)
T_15_FRef;R_82621089;R_14;848402.037274 6519676.363352;848384.811716 6519533.795129;143,605;25,0;LINESTRING (848402.037274 6519676.363352, 848384.811716 6519533.795129)
T_16_FRef_F_F_F;R_15;R_82621411;848395.389400 6519388.200000;848468.461600 6519816.520500;476,348;13,89;LINESTRING (848395.3894 6519388.2, 848468.4616 6519816.5205)
T_17_FRef;R_82647927;R_82647932;844739.871676 6522634.753533;844728.353793 6522772.968137;195,965;13,89;LINESTRING (844739.871676 6522634.753533, 844728.353793 6522772.968137)
T_18_FRef;R_18;R_19;843917.488245 6519755.659194;843928.814601 6519749.485081;12,9;13,89;LINESTRING (843917.488245 6519755.659194, 843928.814601 6519749.485081)
T_19_FRef;R_1074265324;C_941005827;844511.944388 6522370.379067;844502.654985 6522277.114452;132,3845;13,89;LINESTRING (844511.944388 6522370.379067, 844502.654985 6522277.114452)
T_537861808_FRef;C_82643374;C_804333508;843889.184921 6522300.522311;844021.821681 6522361.258426;222,39233333333334;13,89;LINESTRING (843889.184921 6522300.522311, 844021.821681 6522361.258426)
T_545484924_FRef;R_674703518;R_82647300;844589.524718 6521690.448208;844553.893251 6521694.093815;35,81733333333333;13,89;LINESTRING (844589.524718 6521690.448208, 844553.893251 6521694.093815)
T_545484924_toRef;R_82647300;R_674703518;844557.380060 6521683.614147;844587.189587 6521678.910006;30,1785;13,89;LINESTRING (844557.38006 6521683.614147, 844587.189587 6521678.910006)
